"","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75+"
"0-4",0,0,0,0,0.0582347297729453,0.00955274338708941,0,0.144797843665768,0.0576732458047126,0,0.0121620517846933,0.0139812319057602,0,0,0,0
"5-9",0,0,0.0112291395431412,0.0119095525534157,0.163016232991167,0.151532073798725,0.0321596244131455,0.206639839034205,0.0497476478096918,0.0124245472837022,0.0907871471251753,0,0,0,0,0
"10-14",0,0.00980392156862745,0.00980392156862745,0.00519898780768346,0.0135548558540452,0.0233469551818852,0.0308623317574724,0.0138779095300834,0.0313230481533427,0.206104523495828,0,0.0113900681533532,0.00490196078431373,0,0,0
"15-19",0,0.00952380952380952,0.00476190476190476,0.361904761904762,0.184440226040646,0.216414990938765,0.0780983028770639,0.158813163237942,0.119461549963976,0.189832586292763,0.0886812034840997,0.0485277341472032,0.0456039535685553,0.0340407871381323,0.00476190476190476,0.00476190476190476
"20-24",0.0593220338983051,0.177966101694915,0.0169491525423729,0.251794839064825,0.406779661016949,0.367883170915589,0.30175525957365,0.282690643062575,0.298100437487559,0.254307095188898,0.170824205532272,0.184795644591436,0.0597284660753234,0.0523930374962123,0,0.00847457627118644
"25-29",0.00847457627118644,0.144067796610169,0.0254237288135593,0.257296828060148,0.320380322447292,0.491525423728814,0.365572523621547,0.384738467524257,0.407834717719383,0.667675834285761,0.19569991675626,0.249916615705428,0.149046086672233,0.0978212606984827,0.0423728813559322,0.00847457627118644
"30-34",0,0.0333333333333333,0.0366389621542048,0.101226475991857,0.286494435705743,0.398546479088976,0.366666666666667,0.506421619742788,0.38048566495117,0.544673270768161,0.225959016652447,0.260219943614104,0.123661800486618,0.0845440852740123,0.00833333333333333,0
"35-39",0.121428571428571,0.185714285714286,0.0142857142857143,0.178485318177904,0.232721365740031,0.363692647194042,0.439112417118746,0.385714285714286,0.511619903167474,0.463969258589512,0.242822894405173,0.252421974415645,0.120102471368294,0.0801185453084187,0.0285714285714286,0.0285714285714286
"40-44",0.0483870967741935,0.0447301329017039,0.032258064516129,0.134319951700789,0.245518270766551,0.385699861940855,0.330064000622498,0.511851300681344,0.564516129032258,0.61865671641791,0.31862592308165,0.231670743707335,0.157763236602909,0.0605533751898701,0.032258064516129,0.032258064516129
"45-49",0,0.00909090909090909,0.172727272727273,0.173692973692974,0.170442848854981,0.513842535698022,0.384498834498835,0.377732793522267,0.503441295546559,0.727272727272727,0.247458761334359,0.243182840551262,0.218598944914734,0.0545454545454545,0.0454545454545455,0.118181818181818
"50-54",0.00757575757575758,0.0606060606060606,0,0.0740300442785332,0.104456305666309,0.137410519119322,0.14553035390846,0.180364084091418,0.236562094000513,0.225770804078393,0.151515151515152,0.19123996852338,0.0590288377393817,0.0481341283893332,0.0378787878787879,0.0151515151515152
"55-59",0.00925925925925926,0,0.00925925925925926,0.0430703131345759,0.120140260193147,0.186567527111764,0.178187023153107,0.199342166157589,0.182871836607254,0.235889959934944,0.203324750540031,0.203703703703704,0.115534134634456,0.0618595210705171,0.00925925925925926,0.0462962962962963
"60-64",0,0,0.00452993697478992,0.0460111317254174,0.044141857436349,0.126483509428425,0.0962594696969697,0.107819264069264,0.141564332844575,0.241044372294372,0.0713424832743015,0.131335678210678,0.0454545454545455,0.0474386724386724,0.0151515151515152,0
"65-69",0,0,0,0.0319100289688525,0.0359757621721729,0.0771283017045729,0.0611446287916876,0.0668258756494051,0.0504839790892922,0.0558823529411765,0.0540510687569511,0.0653350371487626,0.0440757499581029,0,0,0
"70-74",0,0,0,0.00441719971570718,0,0.0330603339236023,0.00596393034825871,0.0235820895522388,0.0266129032258065,0.0460820895522388,0.0420906829488919,0.00967730790491985,0.0139303482587065,0,0,0
"75+",0,0,0,0.00260406846416525,0.00339467738447657,0.00389800681545333,0,0.0139023317201936,0.0156890850517293,0.0706335239771227,0.00992547560959352,0.0285252806700233,0,0,0,0
